valid_species_name,Phy_all_underscore,total.area.native,LogArea.native,Phy
Camponotus.capperi,Camponotus_capperi,11008.7673,4.041738692,Camponotus_capperi
Camponotus.caracalla,Camponotus_caracalla,387330.0231,5.588081162,Camponotus_caracalla
Camponotus.carbo,Camponotus_carbo,5200165.006,6.716017124,Camponotus_carbo
Camponotus.carbonarius,Camponotus_carbonarius,3141969.865,6.497202015,Camponotus_carbonarius
Camponotus.carin,Camponotus_carin,3063818.347,6.486263012,Camponotus_carin
Camponotus.caryae,Camponotus_caryae,9205801.693,6.964061615,Camponotus_caryae
Camponotus.casicus,Camponotus_casicus,89394.24245,4.951309548,Camponotus_casicus
Camponotus.castaneus,Camponotus_castaneus,5709909.123,6.756629196,Camponotus_castaneus
Camponotus.castanicola,Camponotus_castanicola,296864.0057,5.472557543,Camponotus_castanicola
Camponotus.catalanus,Camponotus_catalanus,582417.3924,5.765234336,Camponotus_catalanus
Camponotus.cecconii,Camponotus_cecconii,1817833.794,6.259554173,Camponotus_cecconii
Camponotus.ceriseipes,Camponotus_ceriseipes,3601585.415,6.556493719,Camponotus_ceriseipes
Camponotus.cervicalis,Camponotus_cervicalis,593087.2472,5.773118586,Camponotus_cervicalis
Camponotus.chalceoides,Camponotus_chalceoides,2025349.386,6.306499953,Camponotus_chalceoides
Camponotus.chalceus,Camponotus_chalceus,3512826.073,6.545656648,Camponotus_chalceus
Camponotus.championi,Camponotus_championi,271390.7432,5.43359503,Camponotus_championi
Camponotus.chapini,Camponotus_chapini,5394949.532,6.731987386,Camponotus_chapini
Camponotus.chartifex,Camponotus_chartifex,9778315.222,6.990264033,Camponotus_chartifex
Camponotus.chazaliei,Camponotus_chazaliei,7777.213988,3.890824049,Camponotus_chazaliei
Camponotus.cheesmanae,Camponotus_cheesmanae,51007.33046,4.707632595,Camponotus_cheesmanae
Camponotus.chilensis,Camponotus_chilensis,2476985.332,6.393923435,Camponotus_chilensis
Camponotus.chloroticus,Camponotus_chloroticus,1318334.011,6.120025456,Camponotus_chloroticus
Camponotus.chongqingensis,Camponotus_chongqingensis,1755774.034,6.244468622,Camponotus_chongqingensis
Camponotus.christi,Camponotus_christi,593087.2472,5.773118586,Camponotus_christi
Camponotus.christmasensis,Camponotus_christmasensis,2025349.386,6.306499953,Camponotus_christmasensis
Camponotus.christophei,Camponotus_christophei,75374.90025,4.87722675,Camponotus_christophei
Camponotus.christopherseni,Camponotus_christopherseni,138874.7902,5.142623416,Camponotus_christopherseni
Camponotus.chromaiodes,Camponotus_chromaiodes,3820749.065,6.582148516,Camponotus_chromaiodes
Camponotus.chrysurus,Camponotus_chrysurus,10121528.03,7.005246082,Camponotus_chrysurus
Camponotus.churchetti,Camponotus_churchetti,4624939.371,6.665106044,Camponotus_churchetti
Camponotus.cilicicus,Camponotus_cilicicus,1243790.763,6.094747327,Camponotus_cilicicus
Camponotus.cillae,Camponotus_cillae,1160818.288,6.064764242,Camponotus_cillae
Camponotus.cinctellus,Camponotus_cinctellus,15658961.91,7.194762968,Camponotus_cinctellus
Camponotus.cinerascens,Camponotus_cinerascens,4959237.729,6.695414927,Camponotus_cinerascens
Camponotus.cinereus,Camponotus_cinereus,4020978.269,6.604331726,Camponotus_cinereus
Camponotus.cingulatus,Camponotus_cingulatus,8771517.124,6.943074716,Camponotus_cingulatus
Camponotus.circularis,Camponotus_circularis,1210443.135,6.082944392,Camponotus_circularis
Camponotus.circumspectus,Camponotus_circumspectus,194810.4769,5.289612309,Camponotus_circumspectus
Camponotus.clarior,Camponotus_clarior,4545579.683,6.657589275,Camponotus_clarior
Camponotus.claripes,Camponotus_claripes,6274187.511,6.797557494,Camponotus_claripes
Camponotus.clarithorax,Camponotus_clarithorax,2249360.906,6.352059143,Camponotus_clarithorax
Camponotus.claviscapus,Camponotus_claviscapus,5280543.519,6.722678626,Camponotus_claviscapus
Camponotus.cleobulus,Camponotus_cleobulus,1250640.791,6.097132589,Camponotus_cleobulus
Camponotus.clypeatus,Camponotus_clypeatus,2390760.799,6.378536126,Camponotus_clypeatus
Camponotus.cocosensis,Camponotus_cocosensis,51420.81554,4.71113896,Camponotus_cocosensis
Camponotus.cognatocompressus,Camponotus_cognatocompressus,2677662.611,6.427755854,Camponotus_cognatocompressus
Camponotus.coloratus,Camponotus_coloratus,5593663.333,6.747696324,Camponotus_coloratus
Camponotus.compositor,Camponotus_compositor,2476287.382,6.393801045,Camponotus_compositor
Camponotus.compressiscapus,Camponotus_compressiscapus,2254319.486,6.353015465,Camponotus_compressiscapus
Camponotus.compressus,Camponotus_compressus,8909843.724,6.949870087,Camponotus_compressus
Camponotus.concolor,Camponotus_concolor,593087.2472,5.773118586,Camponotus_concolor
Camponotus.concurrens,Camponotus_concurrens,1383424.039,6.140955318,Camponotus_concurrens
Camponotus.confluens,Camponotus_confluens,2326848.226,6.366768056,Camponotus_confluens
Camponotus.confucii,Camponotus_confucii,2644000.909,6.4222616,Camponotus_confucii
Camponotus.confusus,Camponotus_confusus,4343247.213,6.63781455,Camponotus_confusus
Camponotus.congolensis,Camponotus_congolensis,6592289.46,6.819036269,Camponotus_congolensis
Camponotus.coniceps,Camponotus_coniceps,343895.1443,5.536426044,Camponotus_coniceps
Camponotus.conradti,Camponotus_conradti,467353.3623,5.669645371,Camponotus_conradti
