Phy,Counts
Campylotropis meeboldii,48
Campylotropis speciosa,2342
Campylotropis stenocarpa,289
Canavalia africana,7902
Canavalia brasiliensis,8886
Canavalia cathartica,1014
Canavalia gladiata,885
Canavalia lineata,1359
Canavalia rosea,3746
Caragana ambigua,1318
Caragana arborescens,1629
Caragana aurantiaca,1422
Caragana brevispina,731
Caragana decorticans,772
Caragana erinacea,958
Caragana frutex,702
Caragana fruticosa,1865
Caragana korshinskii,707
Caragana leveillei,700
Caragana microphylla,1309
Caragana pleiophylla,697
Caragana polourensis,694
Caragana pruinosa,961
Caragana rosea,3622
Caragana sinica,136947
Caragana tragacanthoides,698
Caragana turkestanica,816
Caragana versicolor,4343
Caragana zahlbruckneri,708
Carmichaelia aligera,26
Carmichaelia angustata,225
Carmichaelia arborea,1529
Carmichaelia arenaria,1316
Carmichaelia exsul,106
Carmichaelia flagelliformis,54
Carmichaelia grandiflora,1883
Carmichaelia kirkii,205
Carmichaelia odorata,2033
Carmichaelia orbiculata,93
Carmichaelia ovata,1386
Carmichaelia petriei,36
Carmichaelia robusta,3165
Carmichaelia violacea,783
Carmichaelia virgata,538
Cassia abbreviata,9435
Cassia agnes,48464
Cassia bakeriana,9255
Cassia brewsteri,9247
Cassia circinnata,9249
Cassia cowanii,9284
Cassia desolata,9258
Cassia eremophila,9583
Cassia fastuosa,9287
Cassia ferruginea,10202
Cassia fistula,57658
Cassia grandis,16247
Cassia leiandra,9241
Cassia leptophylla,9320
Cassia marksiana,9241
Cassia moschata,10569
Cassia nemophila,9282
Cassia renigera,9253
Cassia roxburghii,10039
Cassia rubriflora,9298
Cassia spruceana,9296
Castanospermum australe,847
Cathormion umbellatum,171
Cedrelinga cateniformis,33
Cenostigma gardnerianum,111
Cenostigma macrophyllum,251
Cenostigma tocantinum,79
Centrolobium microchaete,62
Centrolobium paraense,2986
Centrolobium robustum,315
Centrolobium tomentosum,335
Centrosema acutifolium,223
Centrosema angustifolium,900
Centrosema arenarium,351
Centrosema bracteosum,173
Centrosema brasilianum,292
Centrosema dasyanthum,162
Centrosema haitiense,162
Centrosema macranthum,193
Centrosema macrocarpum,293
Centrosema molle,2802
Centrosema pascuorum,201
Centrosema plumieri,275
Centrosema pubescens,2652
Centrosema rotundifolium,264
Centrosema sagittatum,241
Centrosema schottii,218
Centrosema venosum,346
Centrosema vexillatum,159
Centrosema virginianum,260
