"Phy","species","RangeY","domY","efnY","n","sum.AM","sum.EM","AM","EM","match"
"Acacia pyrifolia","Acacia pyrifolia",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Acacia retinodes","Acacia retinodes",TRUE,FALSE,TRUE,5,0,4,"N","Y",TRUE
"Acacia richii","Acacia richii",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Acacia rigens","Acacia rigens",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Acacia rothii","Acacia rothii",TRUE,FALSE,FALSE,2,2,2,"Y","Y",TRUE
"Acacia rubida","Acacia amoena",TRUE,FALSE,TRUE,3,0,3,"N","Y",FALSE
"Acacia rubida","Acacia rubida",TRUE,FALSE,TRUE,3,0,3,"N","Y",TRUE
"Acacia salicina","Acacia salicina",TRUE,FALSE,FALSE,4,1,3,"Y","Y",TRUE
"Acacia saligna","Acacia saligna",TRUE,FALSE,TRUE,8,8,0,"Y","N",TRUE
"Acacia simsii","Acacia simsii",TRUE,FALSE,FALSE,2,2,2,"Y","Y",TRUE
"Acacia sparsiflora","Acacia sparsiflora",TRUE,FALSE,FALSE,2,0,2,"N","Y",TRUE
"Acacia spathulifolia","Acacia spathulifolia",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Acacia spinescens","Acacia spinescens",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Acacia stenophylla","Acacia stenophylla",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Acacia stricta","Acacia stricta",TRUE,FALSE,FALSE,2,2,2,"Y","Y",TRUE
"Acacia suaveolens","Acacia suaveolens",TRUE,FALSE,TRUE,3,3,1,"Y","Y",TRUE
"Acacia torulosa","Acacia julifera",TRUE,FALSE,FALSE,5,5,1,"Y","Y",FALSE
"Acacia torulosa","Acacia torulosa",TRUE,FALSE,FALSE,5,5,1,"Y","Y",TRUE
"Acacia trachycarpa","Acacia trachycarpa",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Acacia translucens","Acacia translucens",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Acacia tumida","Acacia tumida",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Acacia ulicifolia","Acacia ulicifolia",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Acacia ulicifolia","Acacia verticillata",TRUE,FALSE,FALSE,1,1,1,"Y","Y",FALSE
"Acacia urophylla","Acacia urophylla",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Acacia verniciflua","Acacia binervata",TRUE,FALSE,FALSE,1,1,0,"Y","N",FALSE
"Acacia verniciflua","Acacia verniciflua",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Acacia verticillata","Acacia verticillata",TRUE,FALSE,TRUE,3,0,3,"N","Y",TRUE
"Acacia yirrkallensis","Acacia yirrkallensis",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Acmispon brachycarpus","Acmispon brachycarpus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Acmispon subpinnatus","Acmispon subpinnatus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Acrocarpus fraxinifolius","Acrocarpus fraxinifolius",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Adesmia retusa","Adesmia retusa",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Aeschynomene americana","Aeschynomene americana",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
